Study,Run ID,Consent,Size (MB),Organism,Tissue
SRP212111,SRR9602511,public,17333,Homo sapiens,liver
SRP212111,SRR9602512,public,10723,Homo sapiens,liver
SRP212111,SRR9602513,public,13310,Homo sapiens,liver
SRP212111,SRR9602514,public,18349,Homo sapiens,liver
SRP212111,SRR9602515,public,16671,Homo sapiens,liver
SRP212111,SRR9602516,public,13419,Homo sapiens,liver
SRP212111,SRR9602517,public,13357,Homo sapiens,liver
SRP212111,SRR9602518,public,13407,Homo sapiens,liver
SRP212111,SRR9602519,public,13735,Homo sapiens,liver
SRP212111,SRR9602520,public,13709,Homo sapiens,liver
SRP212111,SRR9602521,public,12419,Homo sapiens,liver
SRP033505,SRR1042916,public,407,Homo sapiens,blood plasma
SRP033505,SRR1042915,public,448,Homo sapiens,blood plasma
SRP033505,SRR1042917,public,581,Homo sapiens,blood plasma
SRP057614,SRR1993829,public,681,Homo sapiens,blood plasma
SRP174426,SRR8369109,public,183,Homo sapiens,blood plasma
SRP174426,SRR8369108,public,139,Homo sapiens,blood plasma
SRP174426,SRR8369107,public,210,Homo sapiens,blood plasma
SRP174426,SRR8369106,public,164,Homo sapiens,blood plasma
SRP174426,SRR8369105,public,116,Homo sapiens,blood plasma
SRP174426,SRR8369104,public,152,Homo sapiens,blood plasma
SRP174426,SRR8369103,public,136,Homo sapiens,blood plasma
SRP174426,SRR8369102,public,128,Homo sapiens,blood plasma
SRP174426,SRR8369101,public,159,Homo sapiens,blood plasma
SRP174426,SRR8369100,public,138,Homo sapiens,blood plasma
SRP182602,SRR8492658,public,131,Homo sapiens,blood plasma
SRP182602,SRR8492657,public,289,Homo sapiens,blood plasma
SRP182602,SRR8492639,public,652,Homo sapiens,blood plasma
SRP182602,SRR8492660,public,424,Homo sapiens,blood plasma
SRP182602,SRR8492662,public,775,Homo sapiens,blood plasma
SRP182602,SRR8492663,public,1197,Homo sapiens,blood plasma
SRP182602,SRR8492664,public,118,Homo sapiens,blood plasma
SRP182602,SRR8492665,public,892,Homo sapiens,blood plasma
SRP182602,SRR8492666,public,848,Homo sapiens,blood plasma
SRP182602,SRR8492667,public,943,Homo sapiens,blood plasma
SRP182602,SRR8492668,public,889,Homo sapiens,blood plasma
SRP182602,SRR8492669,public,49,Homo sapiens,blood plasma
SRP182602,SRR8492671,public,795,Homo sapiens,blood plasma
SRP182602,SRR8492692,public,515,Homo sapiens,blood plasma
SRP182602,SRR8492659,public,519,Homo sapiens,blood plasma
SRP182602,SRR8492661,public,672,Homo sapiens,blood plasma
SRP182602,SRR8492628,public,319,Homo sapiens,blood plasma
SRP182602,SRR8492629,public,278,Homo sapiens,blood plasma
SRP182602,SRR8492685,public,116,Homo sapiens,blood plasma
SRP182602,SRR8492686,public,211,Homo sapiens,blood plasma
SRP182602,SRR8492687,public,135,Homo sapiens,blood plasma
SRP182602,SRR8492672,public,378,Homo sapiens,blood plasma
SRP182602,SRR8492674,public,616,Homo sapiens,blood plasma
SRP182602,SRR8492641,public,999,Homo sapiens,blood plasma
SRP182602,SRR8492644,public,1274,Homo sapiens,blood plasma
SRP182602,SRR8492642,public,1080,Homo sapiens,blood plasma
SRP182602,SRR8492645,public,925,Homo sapiens,blood plasma
SRP182602,SRR8492646,public,522,Homo sapiens,blood plasma
SRP182602,SRR8492649,public,990,Homo sapiens,blood plasma
SRP182602,SRR8492630,public,347,Homo sapiens,blood plasma
SRP182602,SRR8492688,public,324,Homo sapiens,blood plasma
SRP182602,SRR8492694,public,517,Homo sapiens,blood plasma
SRP182602,SRR8492647,public,1200,Homo sapiens,blood plasma
SRP182602,SRR8492650,public,1497,Homo sapiens,blood plasma
SRP182602,SRR8492648,public,1306,Homo sapiens,blood plasma
SRP182602,SRR8492625,public,1136,Homo sapiens,blood plasma
SRP182602,SRR8492546,public,1213,Homo sapiens,blood plasma
SRP182602,SRR8492682,public,490,Homo sapiens,blood plasma
SRP182602,SRR8492681,public,686,Homo sapiens,blood plasma
SRP182602,SRR8492675,public,264,Homo sapiens,blood plasma
SRP182602,SRR8492636,public,1649,Homo sapiens,blood plasma
SRP182602,SRR8492656,public,1988,Homo sapiens,blood plasma
SRP182602,SRR8492654,public,1406,Homo sapiens,blood plasma
SRP182602,SRR8492655,public,2148,Homo sapiens,blood plasma
SRP182602,SRR8492653,public,2175,Homo sapiens,blood plasma
SRP182602,SRR8492651,public,1622,Homo sapiens,blood plasma
SRP182602,SRR8492652,public,937,Homo sapiens,blood plasma
SRP182602,SRR8492638,public,1772,Homo sapiens,blood plasma
SRP182602,SRR8492678,public,2512,Homo sapiens,blood plasma
SRP182602,SRR8492680,public,2337,Homo sapiens,blood plasma
SRP182602,SRR8492677,public,3108,Homo sapiens,blood plasma
SRP182602,SRR8492683,public,2254,Homo sapiens,blood plasma
SRP182602,SRR8492684,public,2002,Homo sapiens,blood plasma
SRP182602,SRR8492689,public,1681,Homo sapiens,blood plasma
SRP182602,SRR8492690,public,667,Homo sapiens,blood plasma
SRP182602,SRR8492691,public,421,Homo sapiens,blood plasma
SRP182602,SRR8492632,public,609,Homo sapiens,blood plasma
SRP182602,SRR8492633,public,669,Homo sapiens,blood plasma
SRP182602,SRR8492635,public,926,Homo sapiens,blood plasma
SRP182602,SRR8492637,public,639,Homo sapiens,blood plasma
SRP182602,SRR8492742,public,392,Homo sapiens,blood plasma
SRP182602,SRR8492640,public,432,Homo sapiens,blood plasma
SRP182602,SRR8492727,public,496,Homo sapiens,blood plasma
SRP182602,SRR8492709,public,1310,Homo sapiens,blood plasma
SRP182602,SRR8492729,public,923,Homo sapiens,blood plasma
SRP182602,SRR8492670,public,847,Homo sapiens,blood plasma
SRP182602,SRR8492703,public,1292,Homo sapiens,blood plasma
SRP182602,SRR8492702,public,486,Homo sapiens,blood plasma
SRP182602,SRR8492705,public,234,Homo sapiens,blood plasma
SRP182602,SRR8492704,public,490,Homo sapiens,blood plasma
SRP182602,SRR8492699,public,369,Homo sapiens,blood plasma
SRP182602,SRR8492698,public,484,Homo sapiens,blood plasma
SRP182602,SRR8492701,public,306,Homo sapiens,blood plasma
SRP182602,SRR8492700,public,230,Homo sapiens,blood plasma
SRP182602,SRR8492697,public,372,Homo sapiens,blood plasma
SRP182602,SRR8492696,public,125,Homo sapiens,blood plasma
SRP182602,SRR8492741,public,631,Homo sapiens,blood plasma
SRP182602,SRR8492738,public,944,Homo sapiens,blood plasma
SRP182602,SRR8492739,public,191,Homo sapiens,blood plasma
SRP182602,SRR8492707,public,522,Homo sapiens,blood plasma
SRP182602,SRR8492740,public,416,Homo sapiens,blood plasma
SRP182602,SRR8492734,public,550,Homo sapiens,blood plasma
SRP182602,SRR8492736,public,1113,Homo sapiens,blood plasma
SRP182602,SRR8492737,public,877,Homo sapiens,blood plasma
SRP182602,SRR8492735,public,672,Homo sapiens,blood plasma
SRP182602,SRR8492732,public,451,Homo sapiens,blood plasma
SRP182602,SRR8492733,public,1978,Homo sapiens,blood plasma
SRP182602,SRR8492693,public,177,Homo sapiens,blood plasma
SRP182602,SRR8492708,public,461,Homo sapiens,blood plasma
SRP182602,SRR8492706,public,198,Homo sapiens,blood plasma
SRP182602,SRR8492631,public,389,Homo sapiens,blood plasma
SRP182602,SRR8492695,public,1487,Homo sapiens,blood plasma
SRP182602,SRR8492622,public,1080,Homo sapiens,blood plasma
SRP182602,SRR8492722,public,1389,Homo sapiens,blood plasma
SRP182602,SRR8492723,public,626,Homo sapiens,blood plasma
SRP182602,SRR8492714,public,568,Homo sapiens,blood plasma
SRP182602,SRR8492712,public,445,Homo sapiens,blood plasma
SRP182602,SRR8492715,public,137,Homo sapiens,blood plasma
SRP182602,SRR8492713,public,257,Homo sapiens,blood plasma
SRP182602,SRR8492716,public,286,Homo sapiens,blood plasma
SRP182602,SRR8492717,public,442,Homo sapiens,blood plasma
SRP182602,SRR8492720,public,441,Homo sapiens,blood plasma
SRP182602,SRR8492718,public,339,Homo sapiens,blood plasma
SRP182602,SRR8492710,public,436,Homo sapiens,blood plasma
SRP182602,SRR8492711,public,770,Homo sapiens,blood plasma
SRP182602,SRR8492744,public,1209,Homo sapiens,blood plasma
SRP182602,SRR8492747,public,397,Homo sapiens,blood plasma
SRP182602,SRR8492751,public,347,Homo sapiens,blood plasma
SRP182602,SRR8492750,public,277,Homo sapiens,blood plasma
SRP182602,SRR8492748,public,300,Homo sapiens,blood plasma
SRP182602,SRR8492745,public,633,Homo sapiens,blood plasma
SRP182602,SRR8492721,public,1602,Homo sapiens,blood plasma
SRP182602,SRR8492719,public,1376,Homo sapiens,blood plasma
SRP182602,SRR8492728,public,1461,Homo sapiens,blood plasma
SRP182602,SRR8492726,public,635,Homo sapiens,blood plasma
SRP182602,SRR8492725,public,168,Homo sapiens,blood plasma
SRP182602,SRR8492724,public,488,Homo sapiens,blood plasma
SRP182602,SRR8492731,public,652,Homo sapiens,blood plasma
SRP182602,SRR8492730,public,1288,Homo sapiens,blood plasma
SRP182602,SRR8492634,public,629,Homo sapiens,blood plasma
SRP182602,SRR8492808,public,251,Homo sapiens,blood plasma
SRP182602,SRR8492807,public,560,Homo sapiens,blood plasma
SRP182602,SRR8492806,public,368,Homo sapiens,blood plasma
SRP182602,SRR8492805,public,245,Homo sapiens,blood plasma
SRP182602,SRR8492804,public,288,Homo sapiens,blood plasma
SRP182602,SRR8492803,public,122,Homo sapiens,blood plasma
SRP182602,SRR8492676,public,485,Homo sapiens,blood plasma
SRP182602,SRR8492802,public,284,Homo sapiens,blood plasma
SRP182602,SRR8492801,public,273,Homo sapiens,blood plasma
SRP182602,SRR8492800,public,229,Homo sapiens,blood plasma
SRP182602,SRR8492799,public,212,Homo sapiens,blood plasma
SRP182602,SRR8492795,public,225,Homo sapiens,blood plasma
SRP182602,SRR8492798,public,370,Homo sapiens,blood plasma
SRP182602,SRR8492792,public,608,Homo sapiens,blood plasma
SRP182602,SRR8492797,public,613,Homo sapiens,blood plasma
SRP182602,SRR8492796,public,601,Homo sapiens,blood plasma
SRP182602,SRR8492794,public,736,Homo sapiens,blood plasma
SRP182602,SRR8492793,public,446,Homo sapiens,blood plasma
SRP182602,SRR8492791,public,514,Homo sapiens,blood plasma
SRP182602,SRR8492790,public,266,Homo sapiens,blood plasma
SRP182602,SRR8492788,public,456,Homo sapiens,blood plasma
SRP182602,SRR8492787,public,767,Homo sapiens,blood plasma
SRP182602,SRR8492785,public,741,Homo sapiens,blood plasma
SRP182602,SRR8492784,public,767,Homo sapiens,blood plasma
SRP182602,SRR8492783,public,1264,Homo sapiens,blood plasma
SRP182602,SRR8492755,public,445,Homo sapiens,blood plasma
SRP182602,SRR8492782,public,1508,Homo sapiens,blood plasma
SRP182602,SRR8492781,public,298,Homo sapiens,blood plasma
SRP182602,SRR8492749,public,323,Homo sapiens,blood plasma
SRP182602,SRR8492780,public,197,Homo sapiens,blood plasma
SRP182602,SRR8492779,public,390,Homo sapiens,blood plasma
SRP182602,SRR8492778,public,438,Homo sapiens,blood plasma
SRP182602,SRR8492777,public,375,Homo sapiens,blood plasma
SRP182602,SRR8492776,public,498,Homo sapiens,blood plasma
SRP182602,SRR8492775,public,510,Homo sapiens,blood plasma
SRP182602,SRR8492774,public,333,Homo sapiens,blood plasma
SRP182602,SRR8492773,public,401,Homo sapiens,blood plasma
SRP182602,SRR8492772,public,273,Homo sapiens,blood plasma
SRP182602,SRR8492771,public,382,Homo sapiens,blood plasma
SRP182602,SRR8492673,public,510,Homo sapiens,blood plasma
SRP182602,SRR8492770,public,365,Homo sapiens,blood plasma
SRP182602,SRR8492768,public,376,Homo sapiens,blood plasma
SRP182602,SRR8492769,public,696,Homo sapiens,blood plasma
SRP182602,SRR8492767,public,653,Homo sapiens,blood plasma
SRP182602,SRR8492766,public,564,Homo sapiens,blood plasma
SRP182602,SRR8492765,public,688,Homo sapiens,blood plasma
SRP182602,SRR8492764,public,390,Homo sapiens,blood plasma
SRP182602,SRR8492763,public,480,Homo sapiens,blood plasma
SRP182602,SRR8492762,public,269,Homo sapiens,blood plasma
SRP182602,SRR8492761,public,728,Homo sapiens,blood plasma
SRP182602,SRR8492743,public,755,Homo sapiens,blood plasma
SRP182602,SRR8492759,public,293,Homo sapiens,blood plasma
SRP182602,SRR8492760,public,1278,Homo sapiens,blood plasma
SRP182602,SRR8492746,public,313,Homo sapiens,blood plasma
SRP182602,SRR8492758,public,237,Homo sapiens,blood plasma
SRP182602,SRR8492757,public,91,Homo sapiens,blood plasma
SRP182602,SRR8492752,public,424,Homo sapiens,blood plasma
SRP182602,SRR8492756,public,128,Homo sapiens,blood plasma
SRP182602,SRR8492754,public,439,Homo sapiens,blood plasma
SRP182602,SRR8492753,public,214,Homo sapiens,blood plasma
SRP182602,SRR8492574,public,1267,Homo sapiens,blood plasma
SRP182602,SRR8492573,public,888,Homo sapiens,blood plasma
SRP182602,SRR8492579,public,239,Homo sapiens,blood plasma
SRP182602,SRR8492577,public,494,Homo sapiens,blood plasma
SRP182602,SRR8492576,public,565,Homo sapiens,blood plasma
SRP182602,SRR8492575,public,741,Homo sapiens,blood plasma
SRP182602,SRR8492547,public,272,Homo sapiens,blood plasma
SRP182602,SRR8492826,public,604,Homo sapiens,blood plasma
SRP182602,SRR8492809,public,484,Homo sapiens,blood plasma
SRP182602,SRR8492815,public,1517,Homo sapiens,blood plasma
SRP182602,SRR8492814,public,984,Homo sapiens,blood plasma
SRP182602,SRR8492813,public,198,Homo sapiens,blood plasma
SRP182602,SRR8492812,public,318,Homo sapiens,blood plasma
SRP182602,SRR8492562,public,133,Homo sapiens,blood plasma
SRP182602,SRR8492563,public,175,Homo sapiens,blood plasma
SRP182602,SRR8492560,public,195,Homo sapiens,blood plasma
SRP182602,SRR8492561,public,447,Homo sapiens,blood plasma
SRP182602,SRR8492558,public,292,Homo sapiens,blood plasma
SRP182602,SRR8492559,public,653,Homo sapiens,blood plasma
SRP182602,SRR8492556,public,241,Homo sapiens,blood plasma
SRP182602,SRR8492557,public,213,Homo sapiens,blood plasma
SRP182602,SRR8492810,public,217,Homo sapiens,blood plasma
SRP182602,SRR8492811,public,311,Homo sapiens,blood plasma
SRP182602,SRR8492789,public,402,Homo sapiens,blood plasma
SRP182602,SRR8492564,public,2144,Homo sapiens,blood plasma
SRP182602,SRR8492786,public,544,Homo sapiens,blood plasma
SRP182602,SRR8492584,public,441,Homo sapiens,blood plasma
SRP182602,SRR8492582,public,430,Homo sapiens,blood plasma
SRP182602,SRR8492580,public,549,Homo sapiens,blood plasma
SRP182602,SRR8492549,public,291,Homo sapiens,blood plasma
SRP182602,SRR8492820,public,327,Homo sapiens,blood plasma
SRP182602,SRR8492821,public,502,Homo sapiens,blood plasma
SRP182602,SRR8492822,public,242,Homo sapiens,blood plasma
SRP182602,SRR8492823,public,130,Homo sapiens,blood plasma
SRP182602,SRR8492824,public,256,Homo sapiens,blood plasma
SRP182602,SRR8492825,public,279,Homo sapiens,blood plasma
SRP182602,SRR8492816,public,262,Homo sapiens,blood plasma
SRP182602,SRR8492817,public,248,Homo sapiens,blood plasma
SRP182602,SRR8492818,public,340,Homo sapiens,blood plasma
SRP182602,SRR8492819,public,382,Homo sapiens,blood plasma
SRP182602,SRR8492566,public,678,Homo sapiens,blood plasma
SRP182602,SRR8492569,public,772,Homo sapiens,blood plasma
SRP182602,SRR8492568,public,705,Homo sapiens,blood plasma
SRP182602,SRR8492567,public,1018,Homo sapiens,blood plasma
SRP182602,SRR8492570,public,810,Homo sapiens,blood plasma
SRP182602,SRR8492578,public,748,Homo sapiens,blood plasma
SRP182602,SRR8492572,public,515,Homo sapiens,blood plasma
SRP182602,SRR8492571,public,997,Homo sapiens,blood plasma
SRP182602,SRR8492548,public,383,Homo sapiens,blood plasma
SRP182602,SRR8492550,public,1284,Homo sapiens,blood plasma
SRP182602,SRR8492552,public,1132,Homo sapiens,blood plasma
SRP182602,SRR8492551,public,902,Homo sapiens,blood plasma
SRP182602,SRR8492553,public,803,Homo sapiens,blood plasma
SRP182602,SRR8492554,public,983,Homo sapiens,blood plasma
SRP182602,SRR8492555,public,1278,Homo sapiens,blood plasma
SRP182602,SRR8492827,public,877,Homo sapiens,blood plasma
SRP182602,SRR8492545,public,852,Homo sapiens,blood plasma
SRP182602,SRR8492643,public,934,Homo sapiens,blood plasma
SRP182602,SRR8492565,public,1236,Homo sapiens,blood plasma
SRP182602,SRR8492679,public,2295,Homo sapiens,blood plasma
SRP182602,SRR8492609,public,1065,Homo sapiens,blood plasma
SRP182602,SRR8492610,public,1066,Homo sapiens,blood plasma
SRP182602,SRR8492608,public,1054,Homo sapiens,blood plasma
SRP182602,SRR8492588,public,786,Homo sapiens,blood plasma
SRP182602,SRR8492613,public,1414,Homo sapiens,blood plasma
SRP182602,SRR8492614,public,2098,Homo sapiens,blood plasma
SRP182602,SRR8492612,public,250,Homo sapiens,blood plasma
SRP182602,SRR8492615,public,1102,Homo sapiens,blood plasma
SRP182602,SRR8492616,public,203,Homo sapiens,blood plasma
SRP182602,SRR8492596,public,595,Homo sapiens,blood plasma
SRP182602,SRR8492595,public,414,Homo sapiens,blood plasma
SRP182602,SRR8492592,public,451,Homo sapiens,blood plasma
SRP182602,SRR8492591,public,324,Homo sapiens,blood plasma
SRP182602,SRR8492594,public,614,Homo sapiens,blood plasma
SRP182602,SRR8502431,public,191,Homo sapiens,blood plasma
SRP182602,SRR8502432,public,395,Homo sapiens,blood plasma
SRP182602,SRR8503215,public,191,Homo sapiens,blood plasma
SRP182602,SRR8492611,public,998,Homo sapiens,blood plasma
SRP182602,SRR8492586,public,828,Homo sapiens,blood plasma
SRP182602,SRR8492587,public,533,Homo sapiens,blood plasma
SRP182602,SRR8492585,public,200,Homo sapiens,blood plasma
SRP182602,SRR8492583,public,437,Homo sapiens,blood plasma
SRP182602,SRR8492581,public,693,Homo sapiens,blood plasma
SRP182602,SRR8492590,public,635,Homo sapiens,blood plasma
SRP182602,SRR8492589,public,403,Homo sapiens,blood plasma
SRP182602,SRR8492620,public,811,Homo sapiens,blood plasma
SRP182602,SRR8492618,public,1551,Homo sapiens,blood plasma
SRP182602,SRR8492619,public,1337,Homo sapiens,blood plasma
SRP182602,SRR8492624,public,1058,Homo sapiens,blood plasma
SRP182602,SRR8492621,public,690,Homo sapiens,blood plasma
SRP182602,SRR8492623,public,1460,Homo sapiens,blood plasma
SRP182602,SRR8492627,public,1576,Homo sapiens,blood plasma
SRP182602,SRR8492626,public,277,Homo sapiens,blood plasma
SRP182602,SRR8492606,public,440,Homo sapiens,blood plasma
SRP182602,SRR8492605,public,453,Homo sapiens,blood plasma
SRP182602,SRR8492604,public,391,Homo sapiens,blood plasma
SRP182602,SRR8492603,public,374,Homo sapiens,blood plasma
SRP182602,SRR8492602,public,414,Homo sapiens,blood plasma
SRP182602,SRR8492601,public,354,Homo sapiens,blood plasma
SRP182602,SRR8492600,public,445,Homo sapiens,blood plasma
SRP182602,SRR8492599,public,772,Homo sapiens,blood plasma
SRP182602,SRR8492598,public,582,Homo sapiens,blood plasma
SRP182602,SRR8492597,public,479,Homo sapiens,blood plasma
SRP182602,SRR8492617,public,927,Homo sapiens,blood plasma
SRP182602,SRR8492607,public,1393,Homo sapiens,blood plasma
ERP021925,ERR1870495,public,674,Homo sapiens,pancreas
ERP021925,ERR1870496,public,939,Homo sapiens,pancreas
ERP021925,ERR1870497,public,939,Homo sapiens,pancreas
ERP021925,ERR1870498,public,405,Homo sapiens,pancreas
ERP022095,ERR1883110,public,2792,Homo sapiens,brain
ERP022095,ERR1883111,public,2518,Homo sapiens,brain
ERP022095,ERR1883112,public,2395,Homo sapiens,brain
ERP022095,ERR1883113,public,1764,Homo sapiens,brain
ERP022095,ERR1883114,public,2323,Homo sapiens,brain
ERP022095,ERR1883115,public,2154,Homo sapiens,brain
ERP022095,ERR1883116,public,2059,Homo sapiens,brain
ERP022095,ERR1883117,public,2128,Homo sapiens,brain
ERP022095,ERR1883118,public,1923,Homo sapiens,brain
ERP022442,ERR1912917,public,3845,Homo sapiens,brain
ERP022442,ERR1912918,public,3566,Homo sapiens,brain
ERP022442,ERR1912919,public,4088,Homo sapiens,brain
ERP022442,ERR1912920,public,3200,Homo sapiens,brain
ERP022442,ERR1912921,public,3582,Homo sapiens,brain
ERP022442,ERR1912922,public,4237,Homo sapiens,brain
ERP022442,ERR1912923,public,3895,Homo sapiens,brain
ERP022442,ERR1912924,public,4494,Homo sapiens,brain
ERP022442,ERR1912925,public,3761,Homo sapiens,brain
ERP022442,ERR1912926,public,3957,Homo sapiens,brain
ERP022442,ERR1912927,public,4409,Homo sapiens,brain
ERP022442,ERR1912928,public,4013,Homo sapiens,brain
ERP022442,ERR1912929,public,2685,Homo sapiens,brain
ERP022442,ERR1912930,public,3477,Homo sapiens,brain
ERP022442,ERR1912931,public,2713,Homo sapiens,brain
ERP022442,ERR1912932,public,4599,Homo sapiens,brain
ERP022442,ERR1912933,public,2,Homo sapiens,brain
ERP022442,ERR1912934,public,3297,Homo sapiens,brain
ERP022442,ERR1912935,public,3406,Homo sapiens,brain
ERP022442,ERR1912936,public,4126,Homo sapiens,brain
ERP022442,ERR1912937,public,3814,Homo sapiens,brain
ERP022442,ERR1912938,public,3832,Homo sapiens,brain
ERP022442,ERR1912939,public,3496,Homo sapiens,brain
ERP022442,ERR1912940,public,4152,Homo sapiens,brain
ERP022442,ERR1912941,public,3772,Homo sapiens,brain
ERP022442,ERR1912942,public,3531,Homo sapiens,brain
ERP022442,ERR1912943,public,4121,Homo sapiens,brain
ERP022442,ERR1912944,public,3185,Homo sapiens,brain
ERP022442,ERR1912945,public,3228,Homo sapiens,brain
ERP024525,ERR2097172,public,1972,Homo sapiens,brain
ERP024525,ERR2097173,public,1632,Homo sapiens,brain
ERP024525,ERR2097174,public,2106,Homo sapiens,brain
ERP024525,ERR2097179,public,4281,Homo sapiens,brain
ERP024525,ERR2097190,public,1292,Homo sapiens,brain
ERP024525,ERR2097191,public,1651,Homo sapiens,brain
ERP024525,ERR2097192,public,2306,Homo sapiens,brain
ERP024525,ERR2756737,public,0,Homo sapiens,brain
ERP024525,ERR2756738,public,0,Homo sapiens,brain
ERP024525,ERR2756739,public,2918,Homo sapiens,brain
ERP024525,ERR2756740,public,2400,Homo sapiens,brain
ERP024525,ERR2756741,public,2098,Homo sapiens,brain
ERP024525,ERR2756742,public,2122,Homo sapiens,brain
ERP024525,ERR2756743,public,3847,Homo sapiens,brain
ERP024525,ERR2756744,public,2059,Homo sapiens,brain
ERP024525,ERR2756745,public,1547,Homo sapiens,brain
ERP024525,ERR2756746,public,1625,Homo sapiens,brain
ERP024525,ERR2756747,public,4500,Homo sapiens,brain
ERP024525,ERR2756748,public,1712,Homo sapiens,brain
ERP024525,ERR2756749,public,1858,Homo sapiens,brain
ERP024525,ERR2756750,public,1666,Homo sapiens,brain
ERP024525,ERR2756751,public,1803,Homo sapiens,brain
ERP024525,ERR2756752,public,1332,Homo sapiens,brain
ERP024525,ERR2756753,public,874,Homo sapiens,brain
ERP024525,ERR2756754,public,2193,Homo sapiens,brain
ERP024525,ERR2756755,public,2814,Homo sapiens,brain
ERP024525,ERR2756756,public,3045,Homo sapiens,brain
ERP024525,ERR2756757,public,911,Homo sapiens,brain
ERP024525,ERR2756758,public,2370,Homo sapiens,brain
ERP024525,ERR2756759,public,3390,Homo sapiens,brain
ERP024525,ERR2756760,public,2041,Homo sapiens,brain
ERP024525,ERR2756761,public,0,Homo sapiens,brain
ERP024525,ERR2756762,public,0,Homo sapiens,brain
ERP106643,ERR2281864,public,617,Homo sapiens,brain
ERP106643,ERR2281865,public,644,Homo sapiens,brain
